State,Age,Year,Past Month Illicit Drug Use (total),Past Year Marijuana Use (total),Past Month Marijuana Use (total),Past Year Cocaine Use (total),Past Month Alcohol Use (total),Past Month Binge Alcohol Use (total),Past Month Cigarette Use (total),First Use of Marijuana (total),Past Month Illicit Drug Use Other Than Marijuana (total),Past Year Heroin Use (total),Past Year Methamphetamine Use (total),Past Year Misuse of Pain Relievers (total),Illicit Drug Use Disorder (total),Pain Reliever Use Disorder (total),Alcohol Use Disorder (total),Substance Use Disorder (total),Past Month Illicit Drug Use %,Past Year Marijuana Use %,Past Month Marijuana Use %,Past Year Cocaine Use %,Past Month Alcohol Use %,Past Month Binge Alcohol Use %,Past Month Cigarette Use %,First Use of Marijuana %,Past Month Illicit Drug Use Other Than Marijuana %,Past Year Heroin Use %,Past Year Methamphetamine Use %,Past Year Misuse of Pain Relievers %,Illicit Drug Use Disorder %,Pain Reliever Use Disorder %,Alcohol Use Disorder %,Substance Use Disorder %
ILLINOIS,26+,2017,644,870,557,124,4930,2311,1598,16,194,21,24,267,156,45,481,591,,,,,,,,,,,,,,,,
ILLINOIS,26+,2013,,,,,,,,,,,,,,,,,6.52,8.2,4.82,1.5,59.52,26.14,23.04,,,,,,,,,
ILLINOIS,26+,2016,595,753,492,113,4794,2163,1606,14,205,20,,282,156,50,428,554,,,,,,,,,,,,,,,,
ILLINOIS,12+,2014,,,,,,,,,,,,,,,,,9.55,12.16,7.64,1.72,55.55,26.39,21.99,,,,,,,,,
ILLINOIS,12+,2018,,,,,,,,,,,,,,,,,11.01,15.27,9.64,2.23,55.97,27.92,16.68,2.22,3.25,0.24,0.36,3.14,2.83,0.47,6.01,7.78
ILLINOIS,12+,2019,,,,,,,,,,,,,,,,,12.04,16.38,10.38,2.1,55.35,26.88,16.26,2.33,3.2,0.24,0.38,2.84,3.05,0.44,5.53,7.67
ILLINOIS,18+,2017,992,1348,875,203,5738,2892,1917,74,318,27,29,363,248,56,645,808,,,,,,,,,,,,,,,,
ILLINOIS,18+,2013,,,,,,,,,,,,,,,,,8.8,11.56,7.03,1.84,60.16,28.74,24.5,,,,,,,,,
ILLINOIS,18+,2016,916,1199,779,181,5628,2754,1969,69,323,27,,395,245,61,578,757,,,,,,,,,,,,,,,,
ILLINOIS,17-Dec,2014,,,,,,,,,,,,,,,,,8.54,12.07,6.75,0.54,10.98,5.54,4.96,,,,,,,,,
ILLINOIS,17-Dec,2018,,,,,,,,,,,,,,,,,8.27,13.94,6.86,0.5,9.86,5.36,2.27,6.27,2.39,0.03,0.13,2.44,2.84,0.39,1.95,4.04
ILLINOIS,17-Dec,2019,,,,,,,,,,,,,,,,,8.28,13.55,7.01,0.4,8.55,4.34,1.88,6.04,2.16,0.01,0.14,2.16,3.47,0.42,1.53,4.25
ILLINOIS,12+,2017,,,,,,,,,,,,,,,,,10.05,13.83,8.81,1.94,54.53,27.53,18.19,2.1,3.19,0.25,0.28,3.7,2.59,0.58,6.25,7.98
INDIANA,12+,2013,430,598,340,75,2794,1206,1393,,,,,,,,,,,,,,,,,,,,,,,,,
ILLINOIS,12+,2016,,,,,,,,,,,,,,,,,9.3,12.31,7.9,1.74,53.41,26.25,18.74,1.84,3.25,0.25,,4.06,2.59,0.63,5.6,7.55
ILLINOIS,18-25,2014,,,,,,,,,,,,,,,,,22.5,31.12,19.62,4.51,61.47,40.96,31.63,,,,,,,,,
ILLINOIS,18-25,2018,,,,,,,,,,,,,,,,,24.51,34.93,22.59,6.07,57.8,39.05,19.3,8.02,7.28,0.45,0.33,5.78,8,0.74,11.4,16.08
ILLINOIS,18-25,2019,,,,,,,,,,,,,,,,,23.57,34.01,21.74,4.77,56.07,34.55,16.16,7.82,5.61,0.31,0.3,4.57,7.85,0.53,9.89,14.76
ILLINOIS,17-Dec,2017,,,,,,,,,,,,,,,,,8.34,13.34,6.89,0.48,10.33,5.72,3.13,5.84,2.4,0.04,0.09,3.24,2.94,0.55,2.39,4.67
INDIANA,17-Dec,2013,43,66,32,3,65,38,42,,,,,,,,,,,,,,,,,,,,,,,,,
ILLINOIS,17-Dec,2016,,,,,,,,,,,,,,,,,8.05,11.87,6.71,0.53,9.66,5.92,3.93,5.04,2.54,0.04,,3.99,3.21,0.66,2.25,5.21
ILLINOIS,26+,2014,,,,,,,,,,,,,,,,,7.49,8.99,5.74,1.4,60.12,26.54,22.49,,,,,,,,,
ILLINOIS,26+,2018,,,,,,,,,,,,,,,,,9.19,12.31,7.92,1.83,61.15,28.83,17.97,0.48,2.71,0.23,0.39,2.8,2.01,0.44,5.64,6.9
ILLINOIS,26+,2019,,,,,,,,,,,,,,,,,10.68,13.96,9,1.88,60.74,28.33,17.97,0.68,2.94,0.26,0.43,2.66,2.25,0.43,5.31,6.97
ILLINOIS,18-25,2017,,,,,,,,,,,,,,,,,25.72,35.26,23.51,5.84,59.68,42.92,23.57,8.45,9.19,0.45,0.39,7.12,6.81,0.81,12.16,16.03
INDIANA,18-25,2013,147,232,130,30,461,300,265,,,,,,,,,,,,,,,,,,,,,,,,,
ILLINOIS,18-25,2016,,,,,,,,,,,,,,,,,23.37,32.55,20.87,4.92,60.76,43.08,26.46,7.9,8.57,0.49,,8.22,6.44,0.83,10.91,14.78
ILLINOIS,18+,2014,,,,,,,,,,,,,,,,,9.65,12.17,7.73,1.85,60.31,28.62,23.81,,,,,,,,,
ILLINOIS,18+,2018,,,,,,,,,,,,,,,,,11.29,15.41,9.93,2.41,60.69,30.23,18.15,1.52,3.33,0.26,0.38,3.21,2.83,0.48,6.43,8.16
ILLINOIS,18+,2019,,,,,,,,,,,,,,,,,12.42,16.67,10.72,2.27,60.11,29.17,17.73,1.67,3.3,0.26,0.41,2.91,3.01,0.45,5.93,8.02
ILLINOIS,26+,2017,,,,,,,,,,,,,,,,,7.71,10.42,6.66,1.49,59.02,27.67,19.13,0.41,2.32,0.25,0.28,3.2,1.87,0.54,5.76,7.07
INDIANA,26+,2013,240,300,177,42,2268,868,1085,,,,,,,,,,,,,,,,,,,,,,,,,
ILLINOIS,26+,2016,,,,,,,,,,,,,,,,,7.14,9.03,5.91,1.36,57.53,25.96,19.28,0.31,2.46,0.24,,3.38,1.87,0.6,5.14,6.65
INDIANA,12+,2014,497,700,410,66,2782,1184,1351,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANA,12+,2018,658,867,567,119,2793,1357,1222,70,209,27,48,249,165,40,266,389,,,,,,,,,,,,,,,,
INDIANA,12+,2019,700,928,646,88,2766,1427,1254,70,183,18,52,212,195,38,313,448,,,,,,,,,,,,,,,,
ILLINOIS,18+,2017,,,,,,,,,,,,,,,,,10.22,13.88,9.01,2.09,59.12,29.8,19.75,1.47,3.27,0.27,0.3,3.74,2.56,0.58,6.65,8.32
INDIANA,18+,2013,387,532,307,72,2729,1168,1351,,,,,,,,,,,,,,,,,,,,,,,,,
ILLINOIS,18+,2016,,,,,,,,,,,,,,,,,9.43,12.36,8.03,1.87,57.99,28.38,20.29,1.3,3.32,0.27,,4.07,2.52,0.63,5.96,7.8
INDIANA,17-Dec,2014,46,68,35,2,62,34,36,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANA,17-Dec,2018,42,70,36,3,50,27,19,28,14,0,2,16,14,2,8,18,,,,,,,,,,,,,,,,
INDIANA,17-Dec,2019,46,67,40,3,49,26,18,25,15,0,2,16,19,2,9,23,,,,,,,,,,,,,,,,
INDIANA,12+,2017,621,796,513,105,2755,1273,1180,71,208,35,32,266,137,41,289,395,,,,,,,,,,,,,,,,
INDIANA,12+,2013,,,,,,,,,,,,,,,,,7.94,11.05,6.28,1.38,51.63,22.29,25.74,,,,,,,,,
INDIANA,12+,2016,549,733,481,73,2774,1287,1254,66,184,24,,270,136,42,294,391,,,,,,,,,,,,,,,,
INDIANA,18-25,2014,166,264,150,28,457,292,257,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANA,18-25,2018,182,264,169,48,443,273,184,33,57,6,13,51,57,8,75,110,,,,,,,,,,,,,,,,
INDIANA,18-25,2019,198,259,189,34,411,255,185,31,49,4,11,41,60,5,75,109,,,,,,,,,,,,,,,,
INDIANA,17-Dec,2017,41,72,35,3,50,27,25,28,13,0,1,20,14,3,9,18,,,,,,,,,,,,,,,,
INDIANA,17-Dec,2013,,,,,,,,,,,,,,,,,7.89,12.12,5.97,0.57,12.03,7,7.72,,,,,,,,,
INDIANA,17-Dec,2016,46,73,39,3,50,30,30,26,16,0,,25,17,3,11,23,,,,,,,,,,,,,,,,
INDIANA,26+,2014,285,369,224,35,2263,858,1059,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANA,26+,2018,434,533,362,67,2300,1056,1020,9,138,21,33,183,93,30,184,260,,,,,,,,,,,,,,,,
INDIANA,26+,2019,456,603,416,51,2306,1146,1051,14,118,14,39,155,116,31,228,316,,,,,,,,,,,,,,,,
INDIANA,18-25,2017,176,251,154,42,444,284,180,33,60,9,9,65,46,9,79,108,,,,,,,,,,,,,,,,
INDIANA,18-25,2013,,,,,,,,,,,,,,,,,19.94,31.58,17.73,4.11,62.73,40.88,36.13,,,,,,,,,
INDIANA,18-25,2016,162,226,146,29,442,282,210,31,54,6,,73,44,9,85,110,,,,,,,,,,,,,,,,
INDIANA,18+,2014,451,632,375,63,2720,1150,1315,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANA,18+,2018,616,797,530,115,2743,1330,1204,42,195,27,46,233,150,38,258,371,,,,,,,,,,,,,,,,
INDIANA,18+,2019,654,861,605,85,2717,1401,1236,46,167,18,50,196,176,36,303,425,,,,,,,,,,,,,,,,
INDIANA,26+,2017,404,473,324,60,2261,962,975,10,135,25,22,181,77,29,201,268,,,,,,,,,,,,,,,,
INDIANA,26+,2013,,,,,,,,,,,,,,,,,5.81,7.26,4.28,1.01,54.84,20.98,26.25,,,,,,,,,
INDIANA,26+,2016,341,435,296,40,2282,975,1013,9,114,17,,172,75,30,198,258,,,,,,,,,,,,,,,,
INDIANA,12+,2014,,,,,,,,,,,,,,,,,9.12,12.86,7.53,1.21,51.08,21.75,24.8,,,,,,,,,
INDIANA,12+,2018,,,,,,,,,,,,,,,,,11.85,15.61,10.2,2.14,50.3,24.43,22.01,2.58,3.76,0.49,0.86,4.49,2.96,0.73,4.79,7
INDIANA,12+,2019,,,,,,,,,,,,,,,,,12.53,16.61,11.56,1.58,49.51,25.54,22.45,2.54,3.27,0.32,0.93,3.8,3.49,0.68,5.59,8.02
INDIANA,18+,2017,580,725,478,102,2705,1246,1155,43,195,35,31,247,123,38,281,377,,,,,,,,,,,,,,,,
INDIANA,18+,2013,,,,,,,,,,,,,,,,,7.94,10.93,6.31,1.47,56.03,23.98,27.74,,,,,,,,,
INDIANA,18+,2016,503,661,442,70,2724,1257,1224,40,168,23,,246,119,39,283,368,,,,,,,,,,,,,,,,
INDIANA,17-Dec,2014,,,,,,,,,,,,,,,,,8.48,12.56,6.52,0.46,11.44,6.27,6.59,,,,,,,,,
INDIANA,17-Dec,2018,,,,,,,,,,,,,,,,,7.79,13.01,6.77,0.63,9.25,5.06,3.47,5.98,2.59,0.07,0.29,2.94,2.67,0.42,1.43,3.37
INDIANA,17-Dec,2019,,,,,,,,,,,,,,,,,8.6,12.42,7.52,0.5,9.16,4.93,3.38,5.34,2.86,0.03,0.31,3.06,3.52,0.46,1.76,4.2
INDIANA,12+,2017,,,,,,,,,,,,,,,,,11.24,14.42,9.29,1.9,49.89,23.06,21.37,2.43,3.76,0.64,0.58,4.83,2.48,0.74,5.24,7.14
IOWA,12+,2013,188,266,153,35,1470,672,592,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANA,12+,2016,,,,,,,,,,,,,,,,,10,13.35,8.75,1.32,50.48,23.43,22.82,2.15,3.35,0.43,,4.92,2.47,0.77,5.36,7.12
INDIANA,18-25,2014,,,,,,,,,,,,,,,,,22.37,35.62,20.31,3.81,61.73,39.46,34.67,,,,,,,,,
INDIANA,18-25,2018,,,,,,,,,,,,,,,,,24.66,35.8,22.85,6.53,59.99,37.01,24.96,9.67,7.79,0.86,1.77,6.86,7.72,1.07,10.11,14.96
INDIANA,18-25,2019,,,,,,,,,,,,,,,,,26.93,35.14,25.63,4.63,55.79,34.56,25.12,8.98,6.69,0.5,1.43,5.57,8.14,0.69,10.25,14.83
INDIANA,17-Dec,2017,,,,,,,,,,,,,,,,,7.58,13.31,6.51,0.55,9.21,5.09,4.55,6.03,2.34,0.07,0.19,3.69,2.52,0.49,1.58,3.29
IOWA,17-Dec,2013,19,29,15,1,30,18,18,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANA,17-Dec,2016,,,,,,,,,,,,,,,,,8.56,13.47,7.23,0.53,9.32,5.62,5.6,5.55,2.9,0.07,,4.57,3.13,0.57,2.07,4.23
INDIANA,26+,2014,,,,,,,,,,,,,,,,,6.85,8.85,5.38,0.84,54.34,20.61,25.42,,,,,,,,,
INDIANA,26+,2018,,,,,,,,,,,,,,,,,10.15,12.46,8.46,1.57,53.79,24.7,23.84,0.52,3.22,0.48,0.77,4.27,2.18,0.71,4.3,6.08
INDIANA,26+,2019,,,,,,,,,,,,,,,,,10.57,13.97,9.66,1.19,53.47,26.57,24.37,0.72,2.73,0.33,0.92,3.58,2.69,0.71,5.28,7.33
INDIANA,18-25,2017,,,,,,,,,,,,,,,,,23.72,33.87,20.7,5.72,59.83,38.24,24.26,8.83,8.07,1.26,1.21,8.82,6.22,1.23,10.69,14.61
IOWA,18-25,2013,65,104,57,13,236,168,124,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANA,18-25,2016,,,,,,,,,,,,,,,,,21.86,30.41,19.6,3.94,59.42,37.97,28.32,7.88,7.3,0.86,,9.86,5.89,1.17,11.44,14.81
INDIANA,18+,2014,,,,,,,,,,,,,,,,,9.19,12.9,7.64,1.29,55.45,23.45,26.81,,,,,,,,,
INDIANA,18+,2018,,,,,,,,,,,,,,,,,12.28,15.89,10.57,2.3,54.7,26.51,24,1.9,3.89,0.54,0.92,4.65,3,0.76,5.15,7.39
INDIANA,18+,2019,,,,,,,,,,,,,,,,,12.95,17.06,11.98,1.69,53.8,27.73,24.48,1.98,3.31,0.35,0.99,3.87,3.49,0.71,6,8.42
INDIANA,26+,2017,,,,,,,,,,,,,,,,,9.53,11.16,7.65,1.41,53.32,22.69,23,0.48,3.19,0.6,0.52,4.27,1.82,0.69,4.75,6.33
IOWA,26+,2013,104,133,81,20,1204,486,451,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANA,26+,2016,,,,,,,,,,,,,,,,,8.09,10.32,7.03,0.96,54.18,23.14,24.06,0.4,2.71,0.4,,4.09,1.78,0.72,4.71,6.13
IOWA,12+,2014,162,251,129,33,1445,653,586,,,,,,,,,,,,,,,,,,,,,,,,,
IOWA,12+,2018,247,326,185,39,1530,749,529,33,91,7,22,108,70,18,176,228,,,,,,,,,,,,,,,,
IOWA,12+,2019,242,327,176,38,1521,735,542,36,93,6,29,109,76,16,152,205,,,,,,,,,,,,,,,,
INDIANA,18+,2017,,,,,,,,,,,,,,,,,11.64,14.54,9.59,2.05,54.29,25,23.18,1.73,3.91,0.7,0.62,4.95,2.47,0.77,5.63,7.56
IOWA,18+,2013,169,237,138,33,1440,655,574,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANA,18+,2016,,,,,,,,,,,,,,,,,10.15,13.33,8.91,1.41,54.97,25.37,24.7,1.52,3.4,0.47,,4.96,2.4,0.79,5.72,7.43
IOWA,17-Dec,2014,15,24,13,1,26,16,16,,,,,,,,,,,,,,,,,,,,,,,,,
IOWA,17-Dec,2018,18,26,13,1,26,14,8,11,6,0,1,8,7,1,5,10,,,,,,,,,,,,,,,,
IOWA,17-Dec,2019,19,29,14,1,28,14,10,12,6,0,1,9,8,1,5,12,,,,,,,,,,,,,,,,
IOWA,12+,2017,212,298,174,38,1527,775,548,31,79,6,15,110,61,18,185,228,,,,,,,,,,,,,,,,
IOWA,12+,2013,,,,,,,,,,,,,,,,,7.34,10.4,5.98,1.36,57.46,26.27,23.12,,,,,,,,,
IOWA,12+,2016,176,254,142,31,1494,758,560,30,72,5,,105,59,17,167,201,,,,,,,,,,,,,,,,
IOWA,18-25,2014,56,103,49,14,241,166,116,,,,,,,,,,,,,,,,,,,,,,,,,
IOWA,18-25,2018,72,113,63,17,237,162,84,17,25,2,5,27,24,3,51,64,,,,,,,,,,,,,,,,
IOWA,18-25,2019,67,99,57,16,226,141,72,17,22,1,4,20,24,2,42,54,,,,,,,,,,,,,,,,
IOWA,17-Dec,2017,15,25,12,1,24,14,9,10,5,0,0,8,7,1,5,10,,,,,,,,,,,,,,,,
IOWA,17-Dec,2013,,,,,,,,,,,,,,,,,7.86,11.94,6.25,0.59,12.42,7.25,7.25,,,,,,,,,
IOWA,17-Dec,2016,16,25,13,1,23,15,11,11,7,0,,10,7,1,6,12,,,,,,,,,,,,,,,,
IOWA,26+,2014,91,124,67,18,1178,472,454,,,,,,,,,,,,,,,,,,,,,,,,,
IOWA,26+,2018,157,187,109,21,1266,573,437,5,60,5,17,73,39,14,120,154,,,,,,,,,,,,,,,,
IOWA,26+,2019,155,199,105,21,1267,579,461,6,64,5,25,80,44,13,105,139,,,,,,,,,,,,,,,,
IOWA,18-25,2017,70,111,62,16,233,167,103,16,24,2,4,27,23,3,51,62,,,,,,,,,,,,,,,,
IOWA,18-25,2013,,,,,,,,,,,,,,,,,18.51,29.8,16.31,3.69,67.6,48.23,35.4,,,,,,,,,
IOWA,18-25,2016,57,96,48,13,234,168,107,16,21,2,,26,21,3,43,52,,,,,,,,,,,,,,,,
IOWA,18+,2014,146,227,117,32,1419,638,570,,,,,,,,,,,,,,,,,,,,,,,,,
IOWA,18+,2018,229,300,172,37,1504,735,520,23,85,7,22,100,64,17,171,217,,,,,,,,,,,,,,,,
IOWA,18+,2019,222,299,162,37,1493,721,533,23,87,6,29,100,67,15,146,192,,,,,,,,,,,,,,,,
IOWA,26+,2017,126,162,99,20,1270,594,436,5,50,4,10,75,32,13,128,156,,,,,,,,,,,,,,,,
IOWA,26+,2013,,,,,,,,,,,,,,,,,5.31,6.78,4.12,1.04,61.18,24.72,22.9,,,,,,,,,
IOWA,26+,2016,102,133,82,16,1237,575,443,4,44,3,,70,31,13,118,138,,,,,,,,,,,,,,,,
IOWA,12+,2014,,,,,,,,,,,,,,,,,6.27,9.74,5.02,1.28,56.15,25.36,22.75,,,,,,,,,
IOWA,12+,2018,,,,,,,,,,,,,,,,,9.39,12.41,7.04,1.47,58.31,28.53,20.15,1.96,3.46,0.26,0.86,4.13,2.68,0.69,6.71,8.67
IOWA,12+,2019,,,,,,,,,,,,,,,,,9.17,12.43,6.7,1.45,57.8,27.92,20.61,2.12,3.55,0.25,1.11,4.14,2.88,0.61,5.76,7.78
IOWA,18+,2017,196,273,161,36,1503,760,539,21,74,6,14,102,55,17,180,218,,,,,,,,,,,,,,,,
IOWA,18+,2013,,,,,,,,,,,,,,,,,7.29,10.24,5.95,1.44,62.14,28.24,24.77,,,,,,,,,
IOWA,18+,2016,160,228,129,30,1471,743,549,19,65,5,,96,51,16,161,190,,,,,,,,,,,,,,,,
IOWA,17-Dec,2014,,,,,,,,,,,,,,,,,6.31,10.06,5.17,0.5,10.81,6.4,6.48,,,,,,,,,
IOWA,17-Dec,2018,,,,,,,,,,,,,,,,,7.3,10.42,5.36,0.49,10.68,5.69,3.41,4.16,2.48,0.05,0.22,3.46,2.69,0.44,2.15,4.21
IOWA,17-Dec,2019,,,,,,,,,,,,,,,,,7.83,11.61,5.71,0.47,11.38,5.73,3.87,5.06,2.62,0.03,0.29,3.56,3.37,0.42,2.19,5.07
IOWA,12+,2017,,,,,,,,,,,,,,,,,8.1,11.39,6.65,1.43,58.44,29.66,20.97,1.92,3.02,0.23,0.56,4.19,2.35,0.68,7.08,8.73
KANSAS,12+,2013,141,192,103,32,1253,582,537,,,,,,,,,,,,,,,,,,,,,,,,,
IOWA,12+,2016,,,,,,,,,,,,,,,,,6.76,9.75,5.47,1.19,57.42,29.14,21.54,1.83,2.77,0.2,,4.05,2.25,0.67,6.42,7.73
IOWA,18-25,2014,,,,,,,,,,,,,,,,,15.84,29.18,14.01,3.86,68.29,47.04,32.87,,,,,,,,,
IOWA,18-25,2018,,,,,,,,,,,,,,,,,20.04,31.69,17.54,4.69,66.36,45.18,23.37,8.55,6.95,0.54,1.39,7.44,6.76,0.94,14.25,17.76
IOWA,18-25,2019,,,,,,,,,,,,,,,,,18.95,28.1,16.16,4.51,63.95,39.99,20.38,7.55,6.35,0.38,1.07,5.69,6.65,0.67,11.75,15.13
IOWA,17-Dec,2017,,,,,,,,,,,,,,,,,6.26,10.22,5.11,0.55,9.68,5.9,3.7,4.05,2.25,0.05,0.15,3.17,2.76,0.46,2.25,4.18
KANSAS,17-Dec,2013,16,24,12,1,27,17,15,,,,,,,,,,,,,,,,,,,,,,,,,
IOWA,17-Dec,2016,,,,,,,,,,,,,,,,,6.75,10.48,5.38,0.58,9.42,6.15,4.6,4.45,2.78,0.06,,3.97,2.99,0.52,2.46,4.78
IOWA,26+,2014,,,,,,,,,,,,,,,,,4.57,6.25,3.4,0.91,59.52,23.83,22.95,,,,,,,,,
IOWA,26+,2018,,,,,,,,,,,,,,,,,7.77,9.25,5.39,1.02,62.66,28.36,21.61,0.42,2.97,0.24,0.84,3.63,1.95,0.67,5.93,7.61
IOWA,26+,2019,,,,,,,,,,,,,,,,,7.64,9.8,5.18,1.03,62.35,28.51,22.68,0.54,3.17,0.25,1.22,3.94,2.16,0.63,5.15,6.83
IOWA,18-25,2017,,,,,,,,,,,,,,,,,19.47,30.88,17.29,4.53,64.91,46.38,28.58,8.43,6.58,0.48,1.12,7.55,6.27,0.97,14.25,17.23
KANSAS,18-25,2013,48,78,40,11,191,126,102,,,,,,,,,,,,,,,,,,,,,,,,,
IOWA,18-25,2016,,,,,,,,,,,,,,,,,16.01,26.6,13.25,3.75,65.17,46.79,29.66,7.77,5.9,0.51,,7.27,5.72,0.96,11.95,14.35
IOWA,18+,2014,,,,,,,,,,,,,,,,,6.27,9.71,5,1.36,60.84,27.32,24.44,,,,,,,,,
IOWA,18+,2018,,,,,,,,,,,,,,,,,9.6,12.61,7.21,1.57,63.2,30.88,21.87,1.58,3.57,0.29,0.92,4.2,2.68,0.71,7.18,9.13
IOWA,18+,2019,,,,,,,,,,,,,,,,,9.31,12.51,6.8,1.55,62.58,30.21,22.34,1.63,3.64,0.27,1.2,4.2,2.83,0.63,6.13,8.05
IOWA,26+,2017,,,,,,,,,,,,,,,,,6.29,8.05,4.93,0.99,63.21,29.56,21.71,0.4,2.48,0.2,0.5,3.72,1.6,0.65,6.39,7.76
KANSAS,26+,2013,78,90,52,19,1035,439,421,,,,,,,,,,,,,,,,,,,,,,,,,
IOWA,26+,2016,,,,,,,,,,,,,,,,,5.11,6.65,4.09,0.8,61.86,28.77,22.14,0.31,2.21,0.16,,3.48,1.54,0.64,5.91,6.9
KANSAS,12+,2014,188,259,149,32,1264,560,518,,,,,,,,,,,,,,,,,,,,,,,,,
KANSAS,12+,2018,210,326,151,39,1307,636,453,33,77,6,25,94,56,15,122,164,,,,,,,,,,,,,,,,
KANSAS,12+,2019,240,349,178,49,1250,631,436,31,98,12,31,90,61,14,124,166,,,,,,,,,,,,,,,,
IOWA,18+,2017,,,,,,,,,,,,,,,,,8.29,11.51,6.8,1.52,63.46,32.1,22.75,1.56,3.1,0.24,0.6,4.3,2.31,0.7,7.58,9.2
KANSAS,18+,2013,125,168,91,31,1226,566,523,,,,,,,,,,,,,,,,,,,,,,,,,
IOWA,18+,2016,,,,,,,,,,,,,,,,,6.77,9.68,5.48,1.25,62.36,31.51,23.28,1.4,2.77,0.21,,4.06,2.17,0.69,6.83,8.03
KANSAS,17-Dec,2014,18,28,14,2,27,16,13,,,,,,,,,,,,,,,,,,,,,,,,,
KANSAS,17-Dec,2018,15,28,11,1,25,14,7,12,6,0,1,7,6,1,5,9,,,,,,,,,,,,,,,,
KANSAS,17-Dec,2019,16,28,12,1,24,14,5,11,5,0,1,6,7,1,5,10,,,,,,,,,,,,,,,,
KANSAS,12+,2017,197,283,157,38,1358,620,467,30,69,7,19,109,55,16,131,164,,,,,,,,,,,,,,,,
KANSAS,12+,2013,,,,,,,,,,,,,,,,,6.02,8.21,4.41,1.36,53.55,24.88,22.97,,,,,,,,,
KANSAS,12+,2016,191,265,164,29,1314,610,446,28,67,6,,110,56,17,120,162,,,,,,,,,,,,,,,,
KANSAS,18-25,2014,57,93,49,12,200,132,97,,,,,,,,,,,,,,,,,,,,,,,,,
KANSAS,18-25,2018,56,95,47,16,192,125,68,15,20,2,5,23,19,3,33,44,,,,,,,,,,,,,,,,
KANSAS,18-25,2019,60,96,49,16,188,121,54,14,22,1,4,20,22,3,33,45,,,,,,,,,,,,,,,,
KANSAS,17-Dec,2017,16,28,12,1,24,15,8,11,6,0,0,9,6,1,6,10,,,,,,,,,,,,,,,,
KANSAS,17-Dec,2013,,,,,,,,,,,,,,,,,6.69,10.04,5.09,0.58,11.55,7.01,6.29,,,,,,,,,
KANSAS,17-Dec,2016,19,30,15,2,24,15,9,11,7,0,,10,7,1,6,12,,,,,,,,,,,,,,,,
KANSAS,26+,2014,113,138,86,18,1038,413,408,,,,,,,,,,,,,,,,,,,,,,,,,
KANSAS,26+,2018,138,204,93,22,1090,497,378,7,51,4,19,63,31,11,85,111,,,,,,,,,,,,,,,,
KANSAS,26+,2019,163,226,117,31,1038,495,376,7,71,10,26,63,33,11,86,111,,,,,,,,,,,,,,,,
KANSAS,18-25,2017,57,94,52,16,193,129,78,14,17,2,5,24,18,3,37,46,,,,,,,,,,,,,,,,
KANSAS,18-25,2013,,,,,,,,,,,,,,,,,14.7,24.15,12.23,3.55,58.99,39.01,31.53,,,,,,,,,
KANSAS,18-25,2016,57,88,52,13,192,131,78,12,18,2,,26,19,4,39,49,,,,,,,,,,,,,,,,
KANSAS,18+,2014,170,231,135,31,1237,545,505,,,,,,,,,,,,,,,,,,,,,,,,,
KANSAS,18+,2018,194,298,140,38,1282,622,446,22,71,5,24,87,50,14,118,156,,,,,,,,,,,,,,,,
KANSAS,18+,2019,224,322,167,48,1226,617,430,21,92,12,30,83,54,13,119,157,,,,,,,,,,,,,,,,
KANSAS,26+,2017,124,162,93,20,1140,476,382,5,47,5,14,76,31,11,89,109,,,,,,,,,,,,,,,,
KANSAS,26+,2013,,,,,,,,,,,,,,,,,4.36,5.08,2.9,1.07,58.15,24.69,23.63,,,,,,,,,
KANSAS,26+,2016,115,147,98,15,1097,464,359,5,43,4,,74,30,12,76,101,,,,,,,,,,,,,,,,
KANSAS,12+,2014,,,,,,,,,,,,,,,,,8,11.01,6.34,1.38,53.78,23.84,22.04,,,,,,,,,
KANSAS,12+,2018,,,,,,,,,,,,,,,,,8.81,13.71,6.34,1.63,54.93,26.75,19.03,2.37,3.22,0.23,1.04,3.93,2.35,0.64,5.14,6.91
KANSAS,12+,2019,,,,,,,,,,,,,,,,,10.05,14.64,7.48,2.05,52.43,26.44,18.27,2.4,4.11,0.49,1.28,3.75,2.56,0.59,5.18,6.96
KANSAS,18+,2017,181,255,145,36,1333,605,459,18,63,7,19,100,49,14,125,155,,,,,,,,,,,,,,,,
KANSAS,18+,2013,,,,,,,,,,,,,,,,,5.95,8.01,4.33,1.45,58.28,26.89,24.84,,,,,,,,,
KANSAS,18+,2016,172,235,149,28,1289,595,437,17,60,6,,100,49,16,115,150,,,,,,,,,,,,,,,,
KANSAS,17-Dec,2014,,,,,,,,,,,,,,,,,7.61,11.71,5.85,0.64,11.18,6.55,5.6,,,,,,,,,
